hotspot.id	hot_helper	shared	cytoband	chr	start.bp	end.bp	length.bp	number.bps	no.samples	no.del	no.dup	no.inv	no.trn	gistic	hotspot_type	novel_hotspot	fragile	include_as_hotspot	include_comment	to_check	MSK_comment	ER_decision	artifact_comment	annotation	CNV_support	CNV_comment	fusion_overexpressed_driver	limma_driver	expression_comment	additional_analysis	comment	reference	analysis	params	gistic.del.id	gistic.del.genes	gistic.amp.id	gistic.amp.genes
pseudoBinningAll_chr12_122.9Mb	1	unique	q24.31	chr12	122912959	124496129	1583170	33	26	3	9	2	19	AMP	unknown	YES		1	include						1		0	0			"SETD8/KMT5A is not in the narrow GISTIC peak, but clearly affected by focal events as well as outlier overexpression by templated. Many other involved genes too - and enhancer near ABCB9. Not obvious what is the target.  "		downsampling	i=2-g=6-n=8			12q24.31_AMP_123332301_123550999	hsa-mir-4304|HIP1R|ABCB9|ARL6IP4|PITPNM2|OGFOD2|VPS37B|MIR4304
pseudoBinningAll_chr13_24Mb	1	unique	q12.12	chr13	23966379	25116680	1150301	12	11	3	0	9	0	NO	artifact	NO		0	exclude						0						Mostly small inversions without CNV - unknown/artifact		downsampling	i=2-g=6-n=8				
pseudoBinningAll_chr14_81.1Mb	1	unique	q31.1	chr14	81133092	81645059	511967	18	14	8	5	2	3	DEL	unknown	YES	CHECK	1	include					TSHR|CEP128	1		0	0			"Genes no known role in cancer (except thyroid), but clear increase in focal deletions. "		downsampling	i=2-g=6-n=8	14q31.1_DEL_73360101_86000999	hsa-mir-1260|ACYP1|ENTPD5|DIO2|DLST|ESRRB|FOS|GSTZ1|GTF2A1|LTBP2|ALDH6A1|PGF|PSEN1|ABCD4|SEL1L|TGFB3|TSHR|NUMB|ALKBH1|EIF2B2|PNMA1|NRXN3|SPTLC2|KIAA0317|BATF|NPC2|AHSA1|ACOT2|TMED10|C14orf1|VASH1|SNW1|TTLL5|ANGEL1|DCAF4|MLH3|POMT2|COQ6|FCF1|ZFYVE1|VRTN|FLVCR2|C14orf118|YLPM1|ADCK1|TMEM63C|ZNF410|NGB|RBM25|C14orf133|IRF2BPL|ZC2HC1C|C14orf169|C14orf45|SLIRP|DNAL1|RPS6KL1|STON2|KIAA1737|PAPLN|C14orf43|LIN52|NEK9|IFT43|NOXRED1|JDP2|ISCA2|ACOT4|PTGR2|FAM161B|C14orf166B|ISM2|CEP128|SAMD15|PROX2|ZDHHC22|TMED8|C14orf178|VSX2|HEATR4|ACOT1|ACOT6|SYNDIG1L|SNORA79|LOC731223|MIR1260A|MIR4505|MIR4709|LOC100628307		
pseudoBinningAll_chr14_83.4Mb	1	unique	q31.1;q31.2	chr14	83435084	83711855	276771	8	8	6	0	2	0	DEL	artifact	NO		0	exclude						0						"Few events associated with larger deletion, but hotspot because of highly clustered short deletions: artifact/unknown"		downsampling	i=2-g=6-n=8	14q31.1_DEL_73360101_86000999	hsa-mir-1260|ACYP1|ENTPD5|DIO2|DLST|ESRRB|FOS|GSTZ1|GTF2A1|LTBP2|ALDH6A1|PGF|PSEN1|ABCD4|SEL1L|TGFB3|TSHR|NUMB|ALKBH1|EIF2B2|PNMA1|NRXN3|SPTLC2|KIAA0317|BATF|NPC2|AHSA1|ACOT2|TMED10|C14orf1|VASH1|SNW1|TTLL5|ANGEL1|DCAF4|MLH3|POMT2|COQ6|FCF1|ZFYVE1|VRTN|FLVCR2|C14orf118|YLPM1|ADCK1|TMEM63C|ZNF410|NGB|RBM25|C14orf133|IRF2BPL|ZC2HC1C|C14orf169|C14orf45|SLIRP|DNAL1|RPS6KL1|STON2|KIAA1737|PAPLN|C14orf43|LIN52|NEK9|IFT43|NOXRED1|JDP2|ISCA2|ACOT4|PTGR2|FAM161B|C14orf166B|ISM2|CEP128|SAMD15|PROX2|ZDHHC22|TMED8|C14orf178|VSX2|HEATR4|ACOT1|ACOT6|SYNDIG1L|SNORA79|LOC731223|MIR1260A|MIR4505|MIR4709|LOC100628307		
pseudoBinningAll_chr15_63.8Mb	1	unique	q22.2;q22.31	chr15	63770027	63880989	110962	9	9	0	2	1	6	NO	driver/enhancer	YES		1	include					USP3|HERC1	1		1	0	"1x fusion USP3;MAP3K14 (TRA), outlier overexpression"		"Differentual expression of USP3 and HERC1, both related to ubiquitin system. 5 cases of USP3 fusion. Enhancer/driver region."		downsampling	i=2-g=6-n=8				
pseudoBinningAll_chr16_0.2Mb	1	unique	p13.3	chr16	166280	578563	412283	8	8	1	3	2	2	NO	artifact	NO		0	exclude						0						"No clear target,  sepetitive small DUP without CNV. unknown/artifact"		downsampling	i=2-g=6-n=8				
pseudoBinningAll_chr16_50.1Mb	1	unique	q12.1	chr16	50139705	51326318	1186613	40	32	24	4	6	6	DEL	driver	KNOWN		1	include					CYLD	1		0	1			SV causing both focal and larger deletions. Clear GISTIC peak specific for target. 		downsampling	i=2-g=6-n=8	16q12.1_DEL_50402501_51176199	hsa-mir-3181|CYLD|NOD2|NKD1|SNX20		
pseudoBinningAll_chr16_55.9Mb	1	unique	q12.2;q13;q21	chr16	55921943	57826051	1904108	39	25	10	17	4	8	NO	driver/enhancer	YES		1	include					HERPUD1	0		1	0	1x fusion HERPUD1;NUP93(DUP) overexpression		HERPUD1 enhancer region and putative driver with clear focal AMP. ER stress response gene		downsampling	i=2-g=6-n=8				
pseudoBinningAll_chr17_7.2Mb	1	unique	p13.1	chr17	7167474	7308216	140742	8	8	3	0	1	4	NO	artifact	NO		0	exclude	artifact or unknown?	if you think they are artfifact don't include this. It is close to TP53 without involving it. The only alternative is that the majority of these patiuents have TP53 mut or del. This is probably the only scenario that would allow us to keep this. 	removing	"TRA: stereotypical chr8;17 - 3 single and two additional annotated as templated and chromothripsis, but I think they are all independent artifactual events. If only the three annotated as single are artifacts, the hotspot has only 5 events and is below the threshold.  "		0						no clear target or recurrent mechanism -- unknown		downsampling	i=2-g=6-n=8				
pseudoBinningAll_chr17_37.5Mb	1	unique	q12	chr17	37472629	37978066	505437	17	15	5	4	6	2	NO	unknown	YES		1	include						0	"fluctuating copy number, no clear peak (chromothripsis hotspot)"	0	0	"there are several fusions, but several genes involved by low N, i.e. no clear target"		clear enrichment for chromothripsis -- but no clear target or mechanism		downsampling	i=2-g=6-n=8				
pseudoBinningAll_chr19_15.9Mb	1	unique	p13.12;p13.11	chr19	15850430	16558867	708437	28	21	2	6	2	18	AMP	driver/enhancer	YES		1	include	include KLF2 fusions even if not overexpressed?	"according to my data (hope to look the right file), limma doesn't report this as a overexpressed gene. However has a lot of fusions...I think is real; maybe not the only geen, but many translocation,s few fusions…  YOU HAVE ALSO tpm4, notch3, brd4… Many genes… "	no change		KLF2	1		0	0	"no consistent fusion target. One templated involving IGH/CCND1/KLF2, but no overexpression of KLF2"		"KLF2 is only gene in the narrow GISTIC peak, also differentially expressed. Transcription factor implicated in MM biology, also germline predisposition locus. Strong biological evidence as driver, also enhancer region"	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4728406/; https://www.frontiersin.org/articles/10.3389/fgene.2019.00424/full#T1	downsampling	i=2-g=6-n=8			19p13.11_AMP_16354601_16461949	KLF2
pseudoBinningAll_chr2_3.9Mb	1	unique	p25.3;p25.2	chr2	3887570	4682622	795052	8	8	1	2	1	4	NO	artifact	NO		0	exclude	artifact or unknown?	"check if ZNF664 on chromosome 12 is not overexpresed or dowanregulated. If not I'd consider artifact to be removed… no CNV, no gistic, no GEP and stereotypical… maybe the reicprocal is real but probably not… if you find differences in expression, I'd consider as unknown"	not overexpressed	"TRA: 3 unbalanced, 1 reciprocal. Almost exact same breakpoint on chromosome 12. Reciprocal is reproduced in BM and PB from baseline. Many TRA with almost identical coordinates annotated as artifacts in sv file. Looks real -- very strange. Maybe this means the putative artifact ones may be real too?"		0						"Stereotypical translocation breakpoints, no clear target. "		downsampling	i=2-g=6-n=8				
pseudoBinningAll_chr2_54.3Mb	1	unique	p16.2	chr2	54346027	54798272	452245	11	10	3	3	1	4	NO	enhancer	YES		1	include					SPTBN1	1		0	0			"Some clustered duplications around SPTBN1, large enhancer region, weak expression change, insufficient evidence for hotspot. "		downsampling	i=2-g=6-n=8				
pseudoBinningAll_chr2_111.7Mb	1	unique	q13	chr2	111729573	111895173	165600	8	8	7	0	0	1	NO	driver	YES		1	include					BCL2L11	1		0	0			"BCL2L11/BIM is an apoptotic activator, known TSG in cancer. Associated with BZ resistance in MM. Affected by deletions, only reported before in cell lines. Region also appears enriched for active enhancers. "	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4502657/; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6293660/	downsampling	i=2-g=6-n=8				
pseudoBinningAll_chr2_141.6Mb	1	unique	q22.1	chr2	141623828	141862549	238721	8	8	3	0	0	5	NO	artifact	NO	YES	0	exclude	artifact or unknown?	"I think these events on FAM46C are real. They are always assoaicted tih CNVs, ins't it?"	"at least 3 are artifacts, remove"	"TRA: 3 single, 1 templated, 1 unbalanced. Breakpoints similar down to a few hundred bp both on chr2 and chr1 partner region. Partner is the FAM46C/NOTCH2 region, closer to NOTCH2. Templated MMRF_2456_1_BM - no CNV linking together 1;2 and 1;12 TRA. Unbalanced MMRF_2664_1_BM: TRA coinciding with deletion of FAM46C on chr1. Are all of these events artifacts after all? or are all real? I think artifact."	LRP1B	0		0	0			"FRAGILE SITE, as well as highly clustered TRA breakpoints"	https://www.sciencedirect.com/science/article/pii/S1574789111000512	downsampling	i=2-g=6-n=8				
pseudoBinningAll_chr2_144.4Mb	1	unique	q22.3	chr2	144408913	144800053	391140	9	8	5	2	2	0	NO	unknown	YES		1	include						0		0	0			"looks like real events, but no evident target or mechanism"		downsampling	i=2-g=6-n=8				
pseudoBinningAll_chr2_174.8Mb	1	unique	q31.1	chr2	174820044	175581075	761031	17	16	4	6	5	2	NO	unknown	YES		1	include					SP3	1		0	0			"Germline disposition promoter variants in SP3: TF with well-established role in B-cell development influencing the expression of germinal centre genes, including activation-induced cytidine deaminase AID. But: SP3 is affected by all SV types including DUP and DEL."	https://www.nature.com/articles/s41467-018-04989-w	downsampling	i=2-g=6-n=8				
pseudoBinningAll_chr20_44.7Mb	1	unique	q13.12	chr20	44726129	46112100	1385971	46	33	12	12	10	12	DEL|AMP	driver	KNOWN		1	include					CD40	0	wide region enriched for fluctuating gains and losses (chromothripsis)	1	1	CD40 overexpressed in limma and two fusions (TRA) with TXNDC5 and IGL	CHECK-  large deletions?	Translocations with outlier overexpression of CD40. Clear driver. 		downsampling	i=2-g=6-n=8	20q13.12_DEL_40241801_46137499	ADA|CD40|EYA2|HNF4A|KCNS1|MMP9|MYBL2|PI3|PLTP|CTSA|SDC4|SEMG1|SEMG2|SRSF6|SLPI|STK4|TNNC2|YWHAB|MKRN7P|MATN4|WISP2|ACOT8|SGK2|WFDC2|SPINT3|TOMM34|SERINC3|UBE2C|PTPRT|PKIG|RBPJL|ZMYND8|L3MBTL1|TP53TG5|SLC35C2|IFT52|C20orf111|PIGT|ZNF334|DBNDD2|SPINLW1|JPH2|SLC12A5|NCOA5|KCNK15|ELMO2|ZNF335|PCIF1|CDH22|SLC13A3|GDAP1L1|LOC79015|TTPAL|PABPC1L|SLC2A10|TOX2|SYS1|WFDC8|SNX21|ZSWIM1|TP53RK|DNTTIP1|FITM2|WFDC12|SPATA25|C20orf123|WFDC3|RIMS4|NEURL2|ZSWIM3|WFDC10A|WFDC6|R3HDML|GTSF1L|WFDC5|WFDC13|WFDC11|WFDC9|WFDC10B|SPINT4|SYS1-DBNDD2|ZNF663|LOC100131496|MIR3646|MIR3616|LOC100505783|LOC100505826|SPINLW1-WFDC6	20q13.12_AMP_45845001_45930699	ZMYND8
pseudoBinningAll_chr20_49.2Mb	1	unique	q13.13	chr20	49153640	49196690	43050	8	8	3	2	0	3	DEL	driver	YES		1	include	involvement of CD40 as additional driver based only on limma? CD40 is located <5 Mb away from the main deletion target PTPN1. No evident mechanism why CD40 expression would be increased. There are only 2 cases of overlap between this PTPN1 hotspot and the CD40 hotspot. 	"hard to say, some events are part of chromothripsis other no… if limma report PTPN1 I'd report it as gene for this hotspot. CD40 will have is own hotspot as well"	"removing  CD40 from this. PTPN1 not differentially expressed, but GISTIC peak"		PTPN1	1		0	0	CD40 overexpression in limma -- uncertain if this is sufficient to call also CD40 as driver with this hotspot	CHECK amplifications transecting - large deletions?	"GISTIC deletion peak involving tyrosine phosphatase PTPN1, a JAK/STAT-regulator reported as a TSG in B-lymphomas. Common chromothripsis, start of larger DEL. Also enhancer region: Two events (DUP+templated) transecting the gene and amplifying enhancer. "	https://www.nature.com/articles/ng.2900	downsampling	i=2-g=6-n=8	20q13.13_DEL_48928401_49624449	hsa-mir-1302-5|PTPN1|DPM1|ADNP|MOCS3|BCAS4|PARD6B|FAM65C|MIR645		
pseudoBinningAll_chr22_47.8Mb	1	unique	q13.31	chr22	47808192	48285306	477114	8	8	1	0	5	2	NO	artifact	NO		0	exclude						0						"dominated by stereotyped small inversions, no clear target or mechanism, likely artifact / unknown"		downsampling	i=2-g=6-n=8				
pseudoBinningAll_chr3_19.9Mb	1	unique	p24.3	chr3	19908260	21725976	1817716	26	18	18	2	5	1	NO	unknown	YES		1	include					KAT2B	1		0	0		CHECK - expression impact of nearby deletions	"KAT2B lysine acetyltransferase, annotated as NOTCH pathway in TCGA, known TSG. Rare focal DEL with reduced expression. Also some highly focal deletions around gene body, may affect expression (need to check)."		downsampling	i=2-g=6-n=8				
pseudoBinningAll_chr3_49.3Mb	1	unique	p21.31	chr3	49349121	49449468	100347	8	8	1	2	1	4	NO	artifact	NO		0	exclude	artifact or unknown?	"RHOA and close SEDT2 are quiote important genes. fROM THE COPY NUMBER PLOT IT SEEMS THAT YOU HAVE 2 INDIPENDENT CLUSYTERS… ID' NOT INCLUDE, BUT I'D NOT CONSIDER THIS AS ARTIFACT. THE NUMBER OF SV IS 8 SO REMOVING 1 IT IS NOT ANYMORE SIGNFICANT… Probably is a mix of artifact and real... "	"mix of artifact and real, but below threshold -- exclude"	"TRA: 3 single stereotyped translocations, two with the same target on chr12, one chr10. No CNV. Without these three putative artifacts the hotspot is no longer significant. "	RHOA	0		0	0			"Most cases with SV are already CN = 3, additional focal change in two cases. Hotspot driven by stereotypical TRA without CNV. RHOA is in COSMIC, but weak evidence for driver hotspot. "		downsampling	i=2-g=6-n=8				
pseudoBinningAll_chr3_90.3Mb	1	unique	p11.1	chr3	90302162	90464963	162801	8	8	1	6	1	0	NO	artifact	NO		0	exclude						0						"Stereotypical highly focal DUP, no gene target, likely artifact/unknown. "		downsampling	i=2-g=6-n=8				
pseudoBinningAll_chr3_162.7Mb	1	unique	q26.1	chr3	162723856	163468814	744958	10	9	9	0	1	0	NO	artifact	NO		0	exclude						0						"Mostly small deletions without CNV, no clear target gene or mechanism, suspected artifact/unknown"		downsampling	i=2-g=6-n=8				
pseudoBinningAll_chr3_194.2Mb	1	unique	q29	chr3	194202874	194546432	343558	8	8	4	3	1	0	DEL	artifact	NO		0	exclude						0						"Mostly small deletions without CNV, no clear target gene or mechanism, suspected artifact/unknown"		downsampling	i=2-g=6-n=8	3q26.32_DEL_171576201_198022430	hsa-mir-922|hsa-mir-570|hsa-mir-3137|hsa-mir-944|hsa-mir-28|hsa-mir-1248|hsa-mir-1224|ACTL6A|AHSG|APOD|BCL6|BDH1|AP2M1|CLCN2|CPN2|CRYGS|DGKG|DLG1|DVL3|ECT2|EHHADH|EIF4A2|EIF4G1|EPHB3|ETV5|FGF12|GHSR|GP5|HRG|HES1|IL1RAP|KNG1|LPP|MFI2|MUC4|NDUFB5|OPA1|PAK2|PCYT1A|PIK3CA|POLR2H|PPP1R2|MASP1|PSMD2|RFC4|SNORA63|RPL35A|TRA2B|ST6GAL1|SOX2|SST|TFRC|THPO|FXR1|TP63|CHRD|TNFSF10|EIF2B5|USP13|CLDN1|MAP3K13|ADIPOQ|KIAA0226|ECE2|ABCC5|TNK2|ALG3|KCNMB2|IGF2BP2|CLDN16|NLGN1|NCBP2|MCF2L2|ATP11B|VPS8|ACAP2|UBXN7|FETUB|LAMP3|KCNMB3|ZNF639|PEX5L|DNAJB11|DCUN1D1|KLHL24|PIGX|TBCCD1|LEPREL1|ABCF3|LSG1|PARL|MFN1|YEATS2|MCCC1|HRASLS|MRPL47|NCEH1|SENP2|GNB4|RTP4|MAGEF1|ZMAT3|FNDC3B|ATP13A3|TBL1XR1|MAP6D1|PIGZ|SPATA16|B3GNT5|IQCG|ATP13A4|FYTTD1|MGC2889|LRCH3|CEP19|LMLN|KLHL6|VWA5B2|TMEM41A|TMEM44|CAMK2N2|TM4SF19|RPL39L|DNAJC19|FAM131A|ZDHHC19|LRRC15|FAM43A|TMEM207|RTP1|TTC14|MB21D2|XXYLT1|CCDC50|PYDC2|LOC152217|RNF168|HTR3C|LIPH|HTR3D|OSTalpha|FBXO45|MUC20|SENP5|LOC220729|LOC253573|NAALADL2|TCTEX1D2|C3orf43|SDHAP1|UTS2D|HTR3E|C3orf70|TPRG1|CCDC39|LOC339926|LPP-AS2|LOC344887|RTP2|OSTN|ATP13A5|SOX2-OT|WDR53|ANKRD18DP|LRRC33|FLJ46066|FLJ42393|FLJ34208|LOC401109|SNORD2|SNORA4|C3orf65|GMNC|LOC647323|SNORA81|SNORD66|MIR570|SDHAP2|FAM157A|MIR922|MIR944|LOC100128023|LOC100131551|LOC100131635|SNAR-I|MIR1224|MIR1248|LOC100505687|MFI2-AS1|LOC100507086|LOC100507391|TM4SF19-TCTEX1D2|MIR4797|MIR4789		
pseudoBinningAll_chr5_33.6Mb	1	unique	p13.3;p13.2	chr5	33630490	34414322	783832	8	8	1	1	5	1	NO	artifact	NO		0	exclude						0						"dominated by stereotyped small inversions, no clear target or mechanism, likely artifact / unknown"		downsampling	i=2-g=6-n=8				
pseudoBinningAll_chr5_124.9Mb	1	unique	q23.2	chr5	124876883	125499169	622286	8	8	6	2	0	0	DEL	artifact	NO		0	exclude						0						"Dominated by small DEL (and two DUP in same location) without CNV, no nearby gene, suspected artifact/unknown"		downsampling	i=2-g=6-n=8	5q21.1_DEL_83669601_133297884	hsa-mir-1289-2|hsa-mir-1244-2|hsa-mir-548f-3|hsa-mir-548p|hsa-mir-583|hsa-mir-2277|hsa-mir-9-2|hsa-mir-4280|APC|ALDH7A1|CAMK4|CAST|CCNH|CDO1|CETN3|CHD1|AP3S1|COX7C|CSF2|CSNK1G3|DMXL1|EFNA5|FBN2|FER|GDF9|GLRX|HINT1|HSD17B4|HSPA4|IL3|IL4|IL5|IL13|IRF1|KCNN2|LMNB1|LNPEP|LOX|MAN2A1|MCC|MEF2C|PAM|PCSK1|PGGT1B|PPIC|RASA1|SLC12A2|SLC22A4|SLC22A5|SNX2|SRP19|NR2F1|ST8SIA4|REEP5|PDLIM4|P4HA2|ATG12|NREP|RAB9BP1|SNCAIP|TTC37|PJA2|RAD50|POLR3G|KIF3A|RHOBTB3|ELL2|FSTL4|SEPT8|PPIP5K2|ACSL6|TNFAIP8|UQCRQ|AFF4|SLC27A6|SNX24|TMED7|ISOC1|PRR16|COMMD10|RAPGEF6|ERAP1|PHAX|FLJ11235|ZCCHC10|GIN1|TRIM36|RIOK2|FEM1C|CDC42SE2|ZNF608|SEMA6A|ARRDC3|EPB41L4A|ERAP2|FBXL17|YTHDC2|GRAMD3|MCTP1|NUDT12|SPATA9|TSSK1B|FAM172A|GPR98|ANKRD32|MEGF10|TSLP|C5orf30|LYRM7|SLC25A46|PRDM6|FTMT|FNIP1|EPB41L4A-AS1|MARCH3|LYSMD3|LEAP2|SLCO6A1|PRRC1|ZNF474|POU5F2|STARD4|WDR36|SOWAHA|SHROOM1|CEP120|MBLAC2|TMEM161B|SRFBP1|ARSK|FAM81B|CCDC112|DCP2|LIX1|ADAMTS19|C5orf27|AQPEP|KIAA0825|GPR150|DTWD2|NBPF22P|RGMB|RFESD|CHSY3|FAM170A|FAM174A|SLCO4C1|TICAM2|C5orf48|C5orf63|MIR9-2|FLJ42709|C5orf56|FLJ35946|LOC553103|CTXN3|TMEM232|LOC644100|FLJ33630|CCNI2|LINC00461|SNORA13|MIR583|LOC728342|LOC100129716|LOC100133050|LOC100289230|LOC100289673|MIR1289-2|MIR1244-1|TMED7-TICAM2|MIR2277|MIR1244-3|MIR1244-2|MIR4280|MIR3607|MIR3660|MIR3936|LOC100505678|LOC100505841|LOC100505894|MIR4633|MIR4460		
pseudoBinningAll_chr5_143.1Mb	1	unique	q31.3	chr5	143071996	143515271	443275	8	8	5	1	2	0	NO	artifact	NO		0	exclude						0						"Some real events, but hotspot because of 4 cases with stereotypical small deletion without CNV. No plausible target. Likely artifact/unknown. "		downsampling	i=2-g=6-n=8				
pseudoBinningAll_chr5_149.8Mb	1	unique	q32;q33.1	chr5	149829862	152019737	2189875	36	24	9	11	5	11	NO	unknown	YES		1	include						1		0	0			"Many genes in region, no clear differential expression. Lack of GISTIC support, but there is enrichment for duplication. Too little evidence: unknown"		downsampling	i=2-g=6-n=8				
pseudoBinningAll_chr5_156.1Mb	1	unique	q33.3	chr5	156109082	158613210	2504128	41	31	4	18	4	15	AMP	driver/enhancer	YES		1	include					SOX30	1		0	1			"FOXO30 only gene in GISTIC peak with significant overexpression from DUP and templated.Transcriptional regulator. Nearby locus with a few clustered templated insertions/duplications, no clear gene target, probably enhancer driven "		downsampling	i=2-g=6-n=8			5q33.3_AMP_157023301_157090699	SOX30
pseudoBinningAll_chr6_3.2Mb	1	unique	p25.2	chr6	3156493	3422316	265823	8	8	3	3	1	1	NO	artifact	NO		0	exclude						0						Stereotyped DUP and DEL without CNV. No clear target/mechanism. Likely artifact/unknown		downsampling	i=2-g=6-n=8				
